date,region,market,commodity,min_price,max_price,unit,source_pdf,page,table_title,row_number
2026-08-10,Dar es saalam,Tandale,Beans (Maharage),320000,360000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,4
2026-08-10,Dar es saalam,Tandale,Irish Potatoes (Viazi Mviringo),80000,85000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,4
2026-08-10,Dar es saalam,Ubungo,Rice (Mchele),220000,260000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,5
2026-08-10,Dar es saalam,Ubungo,Beans (Maharage),330000,330000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,5
2026-08-10,Dar es saalam,Ubungo,Irish Potatoes (Viazi Mviringo),65000,70000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,5
2026-08-10,Dar es saalam,Mwananyamala,Maize (Mahindi),110000,110000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Rice (Mchele),220000,340000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Sorghum (Mtama),120000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Bulrush Millet (Uwele),110000,110000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Finger Millet (Ulezi),300000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Wheat Grain (Ngano),160000,160000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Beans (Maharage),320000,400000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Mwananyamala,Irish Potatoes (Viazi Mviringo),80000,85000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,6
2026-08-10,Dar es saalam,Buguruni,Maize (Mahindi),100000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Rice (Mchele),230000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Sorghum (Mtama),150000,160000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Bulrush Millet (Uwele),130000,140000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Finger Millet (Ulezi),300000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Wheat Grain (Ngano),150000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Beans (Maharage),280000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Dar es saalam,Buguruni,Irish Potatoes (Viazi Mviringo),95000,100000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,7
2026-08-10,Kilimanjaro,Moshi,Maize (Mahindi),90000,95000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Rice (Mchele),200000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Sorghum (Mtama),130000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Bulrush Millet (Uwele),120000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Finger Millet (Ulezi),220000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Wheat Grain (Ngano),150000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Beans (Maharage),200000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Kilimanjaro,Moshi,Irish Potatoes (Viazi Mviringo),90000,95000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,8
2026-08-10,Singida,Namfua,Maize (Mahindi),60000,60000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Rice (Mchele),200000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Sorghum (Mtama),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Bulrush Millet (Uwele),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Finger Millet (Ulezi),250000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Wheat Grain (Ngano),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Beans (Maharage),250000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Singida,Namfua,Irish Potatoes (Viazi Mviringo),100000,100000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,9
2026-08-10,Arusha,Kilombero,Maize (Mahindi),63000,65000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Rice (Mchele),245000,350000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Sorghum (Mtama),85000,95000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Bulrush Millet (Uwele),110000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Finger Millet (Ulezi),180000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Wheat Grain (Ngano),160000,170000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Beans (Maharage),160000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
2026-08-10,Arusha,Kilombero,Irish Potatoes (Viazi Mviringo),85000,110000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,10
